"State";"Customer.Lifetime.Value";"Response";"Coverage";"Education";"EmploymentStatus";"Gender";"Income";"Location.Code";"Marital.Status";"Monthly.Premium.Auto";"Months.Since.Last.Claim";"Months.Since.Policy.Inception";"Number.of.Policies";"Policy.Type";"Total.Claim.Amount";"Vehicle.Class";"Vehicle.Size"
"California";10369.3874;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Married";69;35;50;2;"Corporate Auto";454.3585;"Four-Door Car";"Small"
"Arizona";2491.317024;"Yes";"Basic";"Doctor";"Employed";"M";36631;"Rural";"Divorced";62;30;77;1;"Personal Auto";67.530904;"Four-Door Car";"Large"
"Oregon";5396.372449;"No";"Extended";"High School or Below";"Employed";"F";40308;"Suburban";"Divorced";136;4;69;1;"Corporate Auto";652.8;"Sports Car";"Medsize"
"Oregon";4652.886703;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Married";64;5;18;6;"Corporate Auto";307.2;"Four-Door Car";"Medsize"
"Arizona";9015.915395;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";130;32;38;4;"Corporate Auto";936;"SUV";"Small"
"Oregon";7857.357595;"No";"Basic";"High School or Below";"Employed";"M";85067;"Urban";"Married";65;34;51;2;"Personal Auto";256.242825;"Four-Door Car";"Medsize"
"California";6763.181497;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";64;27;1;2;"Personal Auto";460.8;"Four-Door Car";"Medsize"
"Washington";15695.53941;"No";"Basic";"College";"Employed";"M";97750;"Urban";"Divorced";65;15;51;2;"Personal Auto";303.002922;"Four-Door Car";"Medsize"
"Oregon";5219.199247;"No";"Basic";"Doctor";"Employed";"F";38704;"Rural";"Married";65;10;28;9;"Personal Auto";9.716628;"Four-Door Car";"Large"
"California";2582.408525;"Yes";"Basic";"Bachelor";"Employed";"F";76731;"Urban";"Married";64;2;68;1;"Personal Auto";201.455005;"Four-Door Car";"Medsize"
"California";7653.283759;"No";"Basic";"College";"Employed";"F";57446;"Rural";"Divorced";64;20;30;2;"Personal Auto";77.451706;"Four-Door Car";"Medsize"
"California";4966.736817;"No";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";73;9;83;6;"Personal Auto";525.6;"Two-Door Car";"Small"
"California";8927.134298;"No";"Premium";"High School or Below";"Employed";"F";96768;"Rural";"Married";111;6;65;3;"Personal Auto";2.549986;"Four-Door Car";"Large"
"California";21423.63723;"Yes";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Married";65;9;31;2;"Corporate Auto";312;"Two-Door Car";"Medsize"
"Arizona";15481.25277;"No";"Premium";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";180;29;19;2;"Corporate Auto";1296;"SUV";"Medsize"
"Oregon";8714.922135;"Yes";"Basic";"College";"Unemployed";"F";0;"Suburban";"Divorced";118;14;64;4;"Personal Auto";566.4;"SUV";"Medsize"
"California";5577.237773;"No";"Basic";"Master";"Employed";"M";77265;"Rural";"Married";69;25;10;3;"Special Auto";170.689399;"Two-Door Car";"Medsize"
"Oregon";8860.654206;"No";"Basic";"High School or Below";"Employed";"F";48736;"Urban";"Married";111;14;62;3;"Personal Auto";285.84958;"SUV";"Medsize"
"Washington";13450.95561;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";126;7;80;2;"Corporate Auto";907.2;"SUV";"Medsize"
"California";6464.417095;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";89;33;98;3;"Personal Auto";640.8;"Two-Door Car";"Small"
"Nevada";3876.772694;"No";"Premium";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";108;2;18;1;"Personal Auto";1099.233361;"Two-Door Car";"Large"
"Arizona";10103.65572;"No";"Extended";"High School or Below";"Employed";"F";46667;"Rural";"Single";129;27;84;3;"Corporate Auto";59.526095;"SUV";"Large"
"Washington";4996.552721;"No";"Basic";"High School or Below";"Employed";"M";71600;"Rural";"Married";63;17;43;7;"Personal Auto";46.158117;"Two-Door Car";"Medsize"
"Arizona";3934.712712;"No";"Extended";"High School or Below";"Employed";"M";84229;"Suburban";"Married";98;25;20;1;"Personal Auto";470.4;"Four-Door Car";"Small"
"Nevada";2219.995914;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Married";62;0;83;1;"Personal Auto";297.6;"Two-Door Car";"Large"
"Oregon";7974.949597;"No";"Premium";"College";"Employed";"F";26118;"Suburban";"Divorced";101;30;2;9;"Personal Auto";484.8;"Four-Door Car";"Medsize"
"Oregon";8708.018769;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";118;20;19;3;"Personal Auto";1380.107186;"SUV";"Medsize"
"Washington";2907.363467;"No";"Basic";"College";"Employed";"M";24049;"Suburban";"Married";74;34;80;1;"Personal Auto";491.446146;"Four-Door Car";"Medsize"
"Arizona";4881.299084;"No";"Basic";"Master";"Employed";"F";37998;"Suburban";"Married";61;26;27;7;"Special Auto";292.8;"Four-Door Car";"Medsize"
"Arizona";3652.666261;"No";"Extended";"Doctor";"Unemployed";"F";0;"Suburban";"Married";95;22;80;1;"Personal Auto";456;"Four-Door Car";"Medsize"
"Oregon";12779.89903;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";184;0;94;9;"Personal Auto";1394.849254;"Luxury SUV";"Medsize"
"Arizona";7200.664877;"Yes";"Basic";"College";"Unemployed";"F";0;"Suburban";"Married";66;16;77;2;"Personal Auto";316.8;"Four-Door Car";"Medsize"
"Oregon";4219.02412;"No";"Basic";"Bachelor";"Employed";"M";62396;"Suburban";"Married";107;24;52;1;"Personal Auto";693.414133;"SUV";"Medsize"
"California";5816.712126;"No";"Basic";"College";"Employed";"M";99239;"Suburban";"Single";74;9;14;6;"Personal Auto";379.37884;"Four-Door Car";"Small"
"Oregon";7908.452072;"No";"Basic";"College";"Employed";"M";94303;"Rural";"Married";65;16;9;2;"Personal Auto";149.688222;"Four-Door Car";"Medsize"
"Arizona";3954.344534;"Yes";"Basic";"Bachelor";"Disabled";"M";18375;"Suburban";"Married";103;8;50;1;"Personal Auto";535.080276;"Sports Car";"Large"
"Nevada";3560.628183;"No";"Extended";"College";"Employed";"F";76769;"Rural";"Married";88;6;91;1;"Corporate Auto";170.106831;"Four-Door Car";"Medsize"
"Oregon";5064.127663;"No";"Basic";"High School or Below";"Employed";"M";78735;"Urban";"Married";63;32;53;6;"Personal Auto";225.558918;"Four-Door Car";"Medsize"
"Oregon";8489.843197;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";130;3;46;3;"Personal Auto";624;"Sports Car";"Medsize"
"California";2425.29505;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Married";67;3;42;1;"Corporate Auto";426.006858;"Four-Door Car";"Medsize"
"California";27542.36956;"No";"Premium";"Doctor";"Employed";"F";50494;"Urban";"Married";114;19;15;2;"Personal Auto";491.322893;"Two-Door Car";"Medsize"
"California";8828.933996;"No";"Premium";"High School or Below";"Employed";"F";86721;"Urban";"Divorced";110;20;99;3;"Corporate Auto";372.594847;"Two-Door Car";"Medsize"
"California";5059.325681;"No";"Basic";"Bachelor";"Employed";"F";67371;"Rural";"Married";63;25;14;3;"Personal Auto";86.599774;"Four-Door Car";"Medsize"
"Nevada";6715.59268;"No";"Extended";"High School or Below";"Retired";"M";21835;"Suburban";"Married";90;6;78;7;"Corporate Auto";432;"Two-Door Car";"Medsize"
"Arizona";2671.817549;"No";"Basic";"High School or Below";"Employed";"M";62452;"Suburban";"Married";67;1;9;1;"Corporate Auto";407.776546;"Two-Door Car";"Medsize"
"California";8098.96921;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Divorced";72;15;45;2;"Personal Auto";518.4;"Four-Door Car";"Medsize"
"California";2795.546288;"No";"Basic";"High School or Below";"Employed";"M";69809;"Rural";"Married";70;0;60;1;"Personal Auto";111.823103;"Two-Door Car";"Medsize"
"Washington";2972.459706;"No";"Extended";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";84;31;28;1;"Personal Auto";604.8;"Two-Door Car";"Medsize"
"Nevada";6288.156817;"No";"Extended";"High School or Below";"Unemployed";"M";0;"Suburban";"Married";84;14;66;3;"Special Auto";403.2;"Two-Door Car";"Medsize"
"Oregon";61850.18803;"No";"Extended";"College";"Unemployed";"F";0;"Suburban";"Married";238;19;29;2;"Personal Auto";1142.4;"Luxury SUV";"Medsize"
"Arizona";10394.36269;"No";"Extended";"College";"Employed";"F";22601;"Suburban";"Married";88;1;41;2;"Personal Auto";633.6;"Four-Door Car";"Medsize"
"Washington";4935.189986;"No";"Basic";"High School or Below";"Employed";"M";29560;"Suburban";"Married";62;21;89;7;"Personal Auto";297.6;"Four-Door Car";"Medsize"
"Oregon";35013.54166;"No";"Extended";"Bachelor";"Unemployed";"F";0;"Urban";"Married";133;1;85;2;"Personal Auto";532.747291;"SUV";"Medsize"
"California";2810.464447;"Yes";"Basic";"Bachelor";"Employed";"M";26790;"Suburban";"Married";71;4;41;1;"Personal Auto";340.8;"Two-Door Car";"Medsize"
"California";3636.943738;"No";"Extended";"Bachelor";"Employed";"F";34986;"Rural";"Married";91;7;75;1;"Corporate Auto";73.839514;"Four-Door Car";"Medsize"
"Arizona";2785.418107;"No";"Basic";"High School or Below";"Employed";"M";66378;"Rural";"Divorced";71;20;61;1;"Corporate Auto";158.000332;"Two-Door Car";"Medsize"
"California";7715.103608;"No";"Extended";"High School or Below";"Employed";"F";48784;"Urban";"Married";96;28;86;3;"Corporate Auto";252.076899;"Four-Door Car";"Medsize"
"Washington";5643.802354;"No";"Basic";"Bachelor";"Employed";"M";41043;"Suburban";"Married";72;22;60;3;"Personal Auto";345.6;"Four-Door Car";"Small"
"Oregon";19088.34203;"No";"Basic";"College";"Employed";"F";32775;"Urban";"Divorced";61;10;73;2;"Personal Auto";251.886847;"Four-Door Car";"Small"
"Oregon";9156.272726;"No";"Premium";"Bachelor";"Employed";"M";61200;"Suburban";"Single";118;20;74;4;"Personal Auto";566.4;"Four-Door Car";"Medsize"
"California";5454.587929;"No";"Basic";"Master";"Employed";"M";66334;"Suburban";"Single";69;25;25;4;"Personal Auto";331.2;"Two-Door Car";"Medsize"
"Arizona";2470.441268;"No";"Basic";"Doctor";"Disabled";"F";18661;"Urban";"Married";62;13;74;1;"Personal Auto";196.879475;"Two-Door Car";"Medsize"
"Oregon";7809.855966;"No";"Premium";"College";"Unemployed";"F";0;"Suburban";"Single";111;29;60;3;"Personal Auto";532.8;"Two-Door Car";"Medsize"
"Oregon";6938.874476;"No";"Extended";"Bachelor";"Employed";"M";53133;"Suburban";"Single";91;11;6;9;"Personal Auto";652.386798;"Two-Door Car";"Small"
"California";5318.89664;"Yes";"Basic";"Bachelor";"Employed";"F";25134;"Suburban";"Married";67;3;0;6;"Personal Auto";321.6;"Four-Door Car";"Small"
"Arizona";13727.79972;"Yes";"Extended";"College";"Unemployed";"M";0;"Suburban";"Single";126;12;4;2;"Personal Auto";604.8;"SUV";"Medsize"
"Arizona";5363.405969;"No";"Basic";"High School or Below";"Employed";"M";64324;"Suburban";"Married";67;7;67;3;"Personal Auto";321.6;"Four-Door Car";"Small"
"Oregon";3265.156348;"Yes";"Extended";"Bachelor";"Employed";"F";25820;"Suburban";"Divorced";82;10;69;1;"Corporate Auto";393.6;"Four-Door Car";"Medsize"
"California";2446.911045;"No";"Basic";"Bachelor";"Medical Leave";"M";29152;"Urban";"Divorced";67;24;72;1;"Personal Auto";255.079807;"Two-Door Car";"Medsize"
"Washington";4196.689511;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Single";114;19;77;1;"Personal Auto";1182.289213;"Sports Car";"Large"
"Arizona";12913.49818;"No";"Basic";"Master";"Employed";"M";62448;"Suburban";"Married";107;0;11;2;"Personal Auto";513.6;"SUV";"Medsize"
"California";23866.15656;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Married";81;27;93;2;"Personal Auto";388.8;"Four-Door Car";"Medsize"
"Arizona";4633.336334;"No";"Basic";"College";"Medical Leave";"M";27132;"Suburban";"Single";63;32;59;4;"Personal Auto";302.4;"Four-Door Car";"Medsize"
"Oregon";8196.077584;"No";"Basic";"Bachelor";"Disabled";"F";21706;"Suburban";"Divorced";108;19;28;3;"Personal Auto";518.4;"SUV";"Medsize"
"Arizona";2167.330201;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";61;16;46;1;"Personal Auto";439.2;"Four-Door Car";"Small"
"Arizona";5619.849825;"No";"Basic";"High School or Below";"Employed";"M";66620;"Suburban";"Married";70;13;75;7;"Personal Auto";336;"Four-Door Car";"Medsize"
"Arizona";6102.307214;"No";"Premium";"Bachelor";"Employed";"F";42800;"Suburban";"Married";153;4;11;1;"Personal Auto";734.4;"Sports Car";"Medsize"
"Arizona";3919.366722;"Yes";"Extended";"High School or Below";"Employed";"F";66676;"Suburban";"Married";97;0;40;1;"Personal Auto";558.099357;"Four-Door Car";"Small"
"Arizona";14944.83656;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Married";68;11;52;2;"Personal Auto";326.4;"Four-Door Car";"Medsize"
"California";10819.999;"No";"Extended";"High School or Below";"Employed";"F";37433;"Urban";"Married";90;7;18;2;"Personal Auto";410.391616;"Four-Door Car";"Medsize"
"Oregon";15839.08876;"No";"Extended";"Doctor";"Employed";"M";44930;"Rural";"Married";132;19;42;2;"Personal Auto";111.049063;"SUV";"Medsize"
"Arizona";6451.263836;"No";"Extended";"Bachelor";"Employed";"F";30857;"Urban";"Married";81;17;14;7;"Personal Auto";309.161777;"Two-Door Car";"Large"
"Arizona";5564.957596;"No";"Basic";"Bachelor";"Employed";"F";46507;"Urban";"Married";73;17;32;3;"Personal Auto";325.569334;"Two-Door Car";"Medsize"
"California";2444.896824;"No";"Basic";"Bachelor";"Employed";"M";48473;"Suburban";"Single";63;1;73;1;"Personal Auto";302.4;"Four-Door Car";"Medsize"
"Oregon";2640.58732;"No";"Basic";"Bachelor";"Employed";"M";59961;"Urban";"Single";68;8;7;1;"Personal Auto";291.91645;"Four-Door Car";"Medsize"
"California";5823.162917;"No";"Basic";"High School or Below";"Employed";"F";88359;"Rural";"Divorced";73;1;49;9;"Personal Auto";35.915639;"Two-Door Car";"Medsize"
"California";5755.539367;"No";"Basic";"College";"Employed";"M";97607;"Rural";"Married";71;2;67;9;"Personal Auto";60.021023;"Two-Door Car";"Medsize"
"California";10408.96865;"Yes";"Basic";"High School or Below";"Retired";"M";20228;"Suburban";"Divorced";101;3;43;2;"Corporate Auto";523.815839;"SUV";"Medsize"
"California";8247.952072;"No";"Premium";"College";"Employed";"M";49009;"Suburban";"Married";105;17;28;7;"Personal Auto";504;"Four-Door Car";"Medsize"
"Washington";3679.142115;"No";"Extended";"Master";"Employed";"M";60804;"Rural";"Married";92;16;50;1;"Personal Auto";213.225001;"Four-Door Car";"Medsize"
"Oregon";16331.43396;"No";"Extended";"Bachelor";"Employed";"M";78374;"Urban";"Single";82;17;84;2;"Personal Auto";206.95076;"Four-Door Car";"Large"
"California";20474.14563;"No";"Basic";"High School or Below";"Employed";"M";95621;"Suburban";"Married";66;7;90;2;"Personal Auto";351.877002;"Two-Door Car";"Small"
"Oregon";9414.943031;"No";"Extended";"High School or Below";"Retired";"M";15741;"Suburban";"Divorced";132;14;4;4;"Special Auto";633.6;"SUV";"Medsize"
"Oregon";9732.584122;"No";"Extended";"Bachelor";"Employed";"M";38279;"Rural";"Married";82;5;41;2;"Personal Auto";64.396979;"Two-Door Car";"Medsize"
"Oregon";4611.2543;"No";"Basic";"Master";"Unemployed";"M";0;"Suburban";"Married";61;4;15;7;"Personal Auto";292.8;"Four-Door Car";"Medsize"
"Arizona";14510.7505;"No";"Basic";"High School or Below";"Employed";"M";60120;"Urban";"Married";182;30;21;6;"Personal Auto";716.469391;"Luxury Car";"Medsize"
"Arizona";13770.97618;"Yes";"Premium";"High School or Below";"Employed";"F";59207;"Suburban";"Single";116;23;21;2;"Personal Auto";556.8;"Four-Door Car";"Medsize"
"Oregon";8083.541953;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Single";116;7;23;8;"Personal Auto";820.018767;"SUV";"Medsize"
"California";2570.190941;"No";"Basic";"College";"Employed";"F";69446;"Rural";"Married";64;23;32;1;"Personal Auto";26.731452;"Four-Door Car";"Medsize"
"Washington";2273.62059;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";73;14;1;1;"Personal Auto";801.022368;"Four-Door Car";"Large"
"California";3995.358195;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";119;19;98;1;"Corporate Auto";856.8;"SUV";"Medsize"
"California";7282.221435;"No";"Extended";"Bachelor";"Employed";"F";50886;"Suburban";"Single";95;25;9;9;"Personal Auto";620.10464;"Two-Door Car";"Medsize"
"Oregon";2469.56901;"No";"Basic";"Bachelor";"Employed";"F";55257;"Urban";"Married";64;0;77;1;"Personal Auto";209.596158;"Two-Door Car";"Medsize"
"California";2450.625315;"No";"Basic";"College";"Employed";"F";61883;"Rural";"Divorced";62;11;62;1;"Personal Auto";18.077998;"Four-Door Car";"Medsize"
"Oregon";10856.17638;"No";"Extended";"College";"Employed";"M";37233;"Rural";"Divorced";136;29;91;5;"Personal Auto";242.545602;"SUV";"Small"
"Arizona";9075.768214;"Yes";"Basic";"Master";"Employed";"M";37722;"Rural";"Single";116;8;23;8;"Personal Auto";158.077504;"Sports Car";"Medsize"
"California";4654.582368;"No";"Premium";"Master";"Employed";"F";81883;"Urban";"Married";114;15;40;1;"Personal Auto";376.002146;"Four-Door Car";"Medsize"
"Oregon";15394.8718;"No";"Premium";"Bachelor";"Employed";"M";35822;"Suburban";"Divorced";197;25;79;7;"Personal Auto";1404.868905;"SUV";"Medsize"
"Oregon";9421.101961;"No";"Extended";"Bachelor";"Disabled";"F";23059;"Rural";"Divorced";126;30;66;3;"Corporate Auto";95.845811;"Sports Car";"Medsize"
"Oregon";2640.515863;"No";"Basic";"Bachelor";"Employed";"F";97666;"Rural";"Single";66;16;60;1;"Personal Auto";136.27248;"Four-Door Car";"Medsize"
"Arizona";8509.850887;"Yes";"Basic";"Master";"Disabled";"M";26057;"Suburban";"Divorced";74;3;63;2;"Corporate Auto";523.888845;"Four-Door Car";"Small"
"Arizona";3436.134281;"Yes";"Extended";"Doctor";"Employed";"M";30817;"Rural";"Divorced";88;25;43;1;"Corporate Auto";91.834668;"Four-Door Car";"Medsize"
"Oregon";4349.30875;"Yes";"Basic";"College";"Employed";"F";75648;"Rural";"Married";108;28;10;1;"Personal Auto";112.660916;"SUV";"Large"
"Oregon";9672.701942;"No";"Extended";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";96;5;27;2;"Corporate Auto";1120.677126;"Four-Door Car";"Medsize"
"Arizona";15266.48446;"No";"Extended";"High School or Below";"Medical Leave";"F";25852;"Suburban";"Married";135;29;71;2;"Personal Auto";648;"Sports Car";"Medsize"
"Arizona";7550.867469;"No";"Basic";"Doctor";"Unemployed";"M";0;"Rural";"Married";68;32;15;2;"Personal Auto";100.212651;"Four-Door Car";"Medsize"
"Washington";9939.255085;"No";"Extended";"Bachelor";"Disabled";"M";13207;"Urban";"Married";137;16;82;3;"Personal Auto";392.920864;"SUV";"Medsize"
"Oregon";14962.37103;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Married";82;9;58;2;"Personal Auto";393.6;"Four-Door Car";"Medsize"
"Nevada";7887.82202;"No";"Extended";"High School or Below";"Employed";"M";32150;"Suburban";"Married";98;21;64;8;"Personal Auto";470.4;"Two-Door Car";"Medsize"
"Oregon";2894.327413;"No";"Basic";"College";"Employed";"M";52674;"Rural";"Married";73;8;49;1;"Personal Auto";166.5492;"Two-Door Car";"Large"
"California";4397.781207;"No";"Basic";"College";"Employed";"M";91653;"Urban";"Divorced";111;10;25;1;"Corporate Auto";343.98412;"SUV";"Medsize"
"Arizona";5781.015999;"No";"Basic";"High School or Below";"Employed";"F";69512;"Urban";"Married";72;3;62;5;"Personal Auto";196.977247;"Two-Door Car";"Medsize"
"California";7720.155885;"No";"Basic";"High School or Below";"Employed";"F";67332;"Suburban";"Married";192;3;10;1;"Personal Auto";921.6;"Luxury Car";"Medsize"
"Washington";3046.248976;"No";"Extended";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";98;4;43;1;"Personal Auto";705.6;"Four-Door Car";"Small"
"Nevada";2590.321715;"No";"Basic";"College";"Employed";"M";53304;"Rural";"Married";65;14;82;1;"Personal Auto";116.322725;"Four-Door Car";"Medsize"
"California";10155.30044;"No";"Extended";"College";"Employed";"M";28754;"Suburban";"Single";89;9;17;2;"Corporate Auto";427.2;"Four-Door Car";"Medsize"
"Arizona";2552.00081;"No";"Basic";"High School or Below";"Employed";"F";50201;"Rural";"Married";64;21;99;1;"Personal Auto";99.894584;"Two-Door Car";"Medsize"
"California";9404.447425;"No";"Extended";"Bachelor";"Employed";"F";51593;"Urban";"Married";80;5;91;2;"Personal Auto";202.905809;"Two-Door Car";"Medsize"
"Oregon";5678.050167;"Yes";"Extended";"Bachelor";"Unemployed";"F";0;"Suburban";"Married";76;8;44;3;"Personal Auto";364.8;"Four-Door Car";"Small"
"California";3723.114445;"No";"Extended";"High School or Below";"Employed";"F";31974;"Urban";"Married";92;25;77;1;"Personal Auto";388.135527;"Four-Door Car";"Medsize"
"Oregon";8417.102804;"No";"Basic";"Bachelor";"Employed";"M";31756;"Urban";"Married";107;1;97;3;"Corporate Auto";415.850776;"SUV";"Medsize"
"California";2520.028421;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Married";68;3;52;1;"Personal Auto";326.4;"Four-Door Car";"Medsize"
"Nevada";8186.308757;"No";"Basic";"Bachelor";"Disabled";"F";20369;"Suburban";"Married";105;4;38;3;"Personal Auto";1126.65778;"SUV";"Small"
"Washington";4229.923123;"No";"Extended";"College";"Unemployed";"M";0;"Suburban";"Single";126;15;45;1;"Personal Auto";907.2;"SUV";"Small"
"California";5074.246068;"No";"Basic";"High School or Below";"Employed";"F";66933;"Urban";"Married";63;8;0;6;"Personal Auto";160.52105;"Four-Door Car";"Medsize"
"California";12981.52926;"No";"Premium";"High School or Below";"Employed";"F";39843;"Suburban";"Married";109;5;97;2;"Personal Auto";523.2;"Four-Door Car";"Small"
"Arizona";2744.172816;"No";"Basic";"Doctor";"Medical Leave";"M";16686;"Rural";"Married";71;9;32;1;"Personal Auto";125.510669;"Four-Door Car";"Medsize"
"Oregon";13226.22345;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";190;2;78;4;"Special Auto";1398.023248;"Luxury Car";"Medsize"
"California";13178.43163;"No";"Basic";"High School or Below";"Employed";"F";80237;"Suburban";"Married";108;4;71;2;"Personal Auto";776.601764;"SUV";"Medsize"
"California";8793.521303;"No";"Basic";"High School or Below";"Employed";"M";72897;"Suburban";"Married";73;26;96;2;"Personal Auto";507.709291;"Two-Door Car";"Medsize"
"California";3245.332058;"No";"Extended";"Bachelor";"Employed";"M";46435;"Urban";"Married";82;13;20;1;"Corporate Auto";350.325879;"Two-Door Car";"Medsize"
"Arizona";4624.622593;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Married";68;0;16;3;"Personal Auto";469.278843;"Four-Door Car";"Large"
"Oregon";4372.490855;"No";"Basic";"High School or Below";"Disabled";"F";23124;"Suburban";"Married";112;27;59;1;"Special Auto";537.6;"Sports Car";"Medsize"
"Arizona";9090.269181;"No";"Extended";"High School or Below";"Employed";"M";45310;"Suburban";"Married";229;28;70;1;"Personal Auto";1550.375183;"Luxury SUV";"Medsize"
"Oregon";10777.56762;"No";"Extended";"College";"Employed";"M";53437;"Suburban";"Married";91;2;87;2;"Personal Auto";436.8;"Two-Door Car";"Medsize"
"Washington";5007.224298;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Single";73;24;69;3;"Personal Auto";655.791955;"Four-Door Car";"Medsize"
"Arizona";5867.12642;"No";"Basic";"College";"Employed";"F";27880;"Urban";"Married";74;4;9;5;"Personal Auto";199.444294;"Four-Door Car";"Large"
"California";14914.53488;"No";"Basic";"Bachelor";"Employed";"F";45963;"Suburban";"Married";63;3;73;2;"Personal Auto";302.4;"Four-Door Car";"Medsize"
"Oregon";5107.163002;"Yes";"Basic";"Bachelor";"Employed";"F";35625;"Urban";"Married";65;10;56;3;"Personal Auto";288.572108;"Four-Door Car";"Medsize"
"Nevada";3536.64749;"No";"Extended";"High School or Below";"Employed";"F";31727;"Suburban";"Single";92;1;95;1;"Personal Auto";495.750669;"Four-Door Car";"Small"
"Arizona";2839.796453;"No";"Basic";"High School or Below";"Employed";"F";53071;"Suburban";"Divorced";72;28;19;1;"Corporate Auto";386.225897;"Four-Door Car";"Medsize"
"California";2939.939038;"No";"Basic";"High School or Below";"Employed";"M";97735;"Urban";"Divorced";73;24;26;1;"Corporate Auto";188.667196;"Four-Door Car";"Medsize"
"California";2776.629135;"No";"Extended";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";77;6;36;1;"Personal Auto";554.4;"Four-Door Car";"Medsize"
"Oregon";5476.527832;"No";"Basic";"Master";"Employed";"F";52218;"Rural";"Married";68;11;85;8;"Corporate Auto";33.781673;"Four-Door Car";"Medsize"
"California";3265.156348;"Yes";"Extended";"Bachelor";"Employed";"F";25820;"Suburban";"Divorced";82;10;69;1;"Personal Auto";393.6;"Four-Door Car";"Medsize"
"California";8066.073765;"No";"Basic";"High School or Below";"Disabled";"F";17950;"Suburban";"Married";71;16;62;2;"Special Auto";340.8;"Two-Door Car";"Medsize"
"Arizona";3644.833554;"Yes";"Extended";"High School or Below";"Employed";"F";82477;"Suburban";"Married";90;1;69;1;"Personal Auto";432;"Two-Door Car";"Large"
"Arizona";6611.118163;"No";"Extended";"College";"Unemployed";"F";0;"Suburban";"Single";95;15;37;3;"Personal Auto";564.302867;"Four-Door Car";"Medsize"
"Oregon";7582.113842;"Yes";"Basic";"College";"Employed";"M";64801;"Urban";"Married";64;23;19;2;"Personal Auto";268.471802;"Four-Door Car";"Medsize"
"Washington";2607.81554;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Married";70;26;44;1;"Special Auto";336;"Two-Door Car";"Medsize"
"Arizona";7124.202899;"No";"Extended";"Doctor";"Employed";"F";61233;"Rural";"Married";89;27;50;7;"Personal Auto";181.287697;"Four-Door Car";"Medsize"
"Nevada";9435.540893;"No";"Extended";"Bachelor";"Unemployed";"F";0;"Suburban";"Divorced";129;13;19;8;"Corporate Auto";628.366119;"SUV";"Large"
"Arizona";8256.2978;"Yes";"Basic";"Bachelor";"Employed";"F";62902;"Rural";"Married";69;14;94;2;"Personal Auto";159.383042;"Two-Door Car";"Medsize"
"Arizona";5091.101225;"No";"Basic";"High School or Below";"Employed";"M";20244;"Suburban";"Married";65;6;42;8;"Personal Auto";312;"Four-Door Car";"Medsize"
"California";5881.813596;"No";"Basic";"High School or Below";"Employed";"F";86812;"Rural";"Married";73;1;11;3;"Personal Auto";45.472477;"Four-Door Car";"Small"
"California";7684.887717;"No";"Extended";"College";"Employed";"F";62192;"Rural";"Single";98;30;28;5;"Special Auto";243.292609;"Two-Door Car";"Medsize"
"Oregon";10396.53186;"No";"Extended";"College";"Employed";"F";34948;"Urban";"Married";130;20;15;7;"Personal Auto";443.786437;"SUV";"Small"
"Oregon";8545.608946;"No";"Basic";"Bachelor";"Employed";"M";35456;"Urban";"Married";109;14;58;6;"Personal Auto";505.082702;"Sports Car";"Medsize"
"Oregon";4408.071476;"No";"Basic";"College";"Employed";"M";80640;"Urban";"Married";111;2;84;1;"Personal Auto";313.270725;"SUV";"Medsize"
